segment_idx,openarm_left_joint1,openarm_left_joint2,openarm_left_joint3,openarm_left_joint4,openarm_left_joint5,openarm_left_joint6,openarm_left_joint7,openarm_right_joint1,openarm_right_joint2,openarm_right_joint3,openarm_right_joint4,openarm_right_joint5,openarm_right_joint6,openarm_right_joint7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,-0.7,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,-0.7,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,0.7,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,0.7,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,-0.7,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,0.7,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.8,0.0,1.5,1.57,0.0,0.0
